20110125 20110125-S01E01  Winter_is_coming 62 9.1
20170220	20170220-S01E02	Imprudencias_letales	41	8.4	1
20170220	20170220-S01E03	Errar_al_disparar	50	8.2	1
20170220	20170220-S01E04	Caballo_de_Troya	51	8.3	1
20170220	20170220-S01E05	El_día_de_la_marmota	42	8.4	1
20170220	20170220-S01E06	La_cálida_Guerra_Fría	43	8.3	1
20170220	20170220-S01E07	Refrigerada_inestabilidad	47	8.4	1
20170220	20170220-S01E08	Tú_lo_has_buscado	43	8.2	1
20170220 20170220-S01E09	El_que_la_sigue_la_consigue 	42	8.7	1
20170220 20170220-S02E01	Se_acabaron_las_máscaras	54	8.6	2
20170220 20170220-S02E02	La_cabeza_del_plan	42	8.5	2
20170220 20170220-S02E03	Cuestión_de_eficacia	43	8.7	2
20170220 20170220-S02E04	¿Qué_hemos_hecho?	55	8.8	2
20170220 20170220-S02E05	A_contrarreloj	42	8.8	2
20170220 20170220-S02E06	Bella_ciao 	43	9.4	2
20170220 20170220-S03E01	Hemos_vuelto	50	8.2	3
20170220 20170220-S03E02	Aikido	41	8.4	3
20170220 20170220-S03E03	48_metros_bajo_el_suelo	49	8.4	3
20170220 20170220-S03E04	La_hora_del_delfín	43	8.1	3
20170220 20170220-S03E05	Bum_bum_ciao	49	8.9	3
20170220 20170220-S03E06	Todo_pareció_insignificante	46	8.3	3
20170220 20170220-S03E07	Pequeñas_vacaciones	44	8.4	3
20170220 20170220-S03E08	La_deriva	57	9.5	3
20170220 20170220-S04E01	Game_over 	52	7.4	4
20170220 20170220-S04E02	La_boda_de_Berlín	44	7.1	4
20170220 20170220-S04E03	Lección_de_anatomía	42	7	4
20170220 20170220-S04E04	Suspiros_de_España	53	7.5	4
20170220 20170220-S04E05	5_minutos_antes	42	6.9	4
20170220 20170220-S04E06	KO_técnico	45	7.3	4
20170220 20170220-S04E07	Tumbar_la_carpa	52	8.2	4
20170220 20170220-S04E08	Plan_París	60	8.3	4
